Latitude,Longitude,UTC,Parameter,Unit,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode,region,source,data_type,city
43.160056,-79.23475,2025-05-23T00:00,NO2,PPB,3,1,St. Catharines,Ontario Ministry of the Environment,000061302,124000061302,Canada,AirNow,historical,Toronto
45.224278,-78.932944,2025-05-23T00:00,OZONE,PPB,23,1,Dorset,Ontario Ministry of the Environment,000063301,124000063301,Canada,AirNow,historical,Unknown
45.224278,-78.932944,2025-05-23T00:00,PM2.5,UG/M3,4,1,Dorset,Ontario Ministry of the Environment,000063301,124000063301,Canada,AirNow,historical,Unknown
43.952248,-78.91252,2025-05-23T00:00,OZONE,PPB,23,1,Oshawa,Ontario Ministry of the Environment,124000061703,124000061703,Canada,AirNow,historical,Unknown
43.952248,-78.91252,2025-05-23T00:00,NO2,PPB,2,1,Oshawa,Ontario Ministry of the Environment,124000061703,124000061703,Canada,AirNow,historical,Unknown
43.2189,-78.4792,2025-05-23T00:00,OZONE,PPB,17,1,Middleport,New York Dept. of Environmental Conservation,360631006,840360631006,Canada,AirNow,historical,Unknown
44.301848,-78.346384,2025-05-23T00:00,OZONE,PPB,21,1,Peterborough,Ontario Ministry of the Environment,000061104,124000061104,Canada,AirNow,historical,Unknown
44.301848,-78.346384,2025-05-23T00:00,PM2.5,UG/M3,2,1,Peterborough,Ontario Ministry of the Environment,000061104,124000061104,Canada,AirNow,historical,Unknown
44.301848,-78.346384,2025-05-23T00:00,NO2,PPB,2,1,Peterborough,Ontario Ministry of the Environment,000061104,124000061104,Canada,AirNow,historical,Unknown
43.145021,-77.557608,2025-05-23T00:00,PM2.5,UG/M3,13,1,Rochester Near-road,New York Dept. of Environmental Conservation,360550015,840360550015,Canada,AirNow,historical,Unknown
43.1461,-77.5481,2025-05-23T00:00,OZONE,PPB,16,1,Rochester,New York Dept. of Environmental Conservation,360551007,840360551007,Canada,AirNow,historical,Unknown
43.1461,-77.5481,2025-05-23T00:00,PM2.5,UG/M3,8,1,Rochester,New York Dept. of Environmental Conservation,360551007,840360551007,Canada,AirNow,historical,Unknown
44.150528,-77.3955,2025-05-23T00:00,OZONE,PPB,25,1,Belleville,Ontario Ministry of the Environment,000065401,124000065401,Canada,AirNow,historical,Unknown
44.150528,-77.3955,2025-05-23T00:00,PM2.5,UG/M3,6,1,Belleville,Ontario Ministry of the Environment,000065401,124000065401,Canada,AirNow,historical,Unknown
44.150528,-77.3955,2025-05-23T00:00,NO2,PPB,1,1,Belleville,Ontario Ministry of the Environment,000065401,124000065401,Canada,AirNow,historical,Unknown
43.2303,-77.1728,2025-05-23T00:00,OZONE,PPB,19,1,Williamson,New York Dept. of Environmental Conservation,361173001,840361173001,Canada,AirNow,historical,Unknown
44.219953,-76.521143,2025-05-23T00:00,OZONE,PPB,22,1,Kingston,Ontario Ministry of the Environment,000060304,124000060304,Canada,AirNow,historical,Unknown
44.219953,-76.521143,2025-05-23T00:00,PM2.5,UG/M3,11,1,Kingston,Ontario Ministry of the Environment,000060304,124000060304,Canada,AirNow,historical,Unknown
44.219953,-76.521143,2025-05-23T00:00,NO2,PPB,2,1,Kingston,Ontario Ministry of the Environment,000060304,124000060304,Canada,AirNow,historical,Unknown
43.284279,-76.46318,2025-05-23T00:00,OZONE,PPB,20,1,Fulton,New York Dept. of Environmental Conservation,360750003,840360750003,Canada,AirNow,historical,Unknown
43.0528,-76.0597,2025-05-23T00:00,OZONE,PPB,21,1,E Syracuse,New York Dept. of Environmental Conservation,360671015,840360671015,Canada,AirNow,historical,Unknown
43.0528,-76.0597,2025-05-23T00:00,PM2.5,UG/M3,3,1,E Syracuse,New York Dept. of Environmental Conservation,360671015,840360671015,Canada,AirNow,historical,Unknown
45.6222,-76.0178,2025-05-23T00:00,OZONE,PPB,26,1,Parc de la Gatineau - La Pêche,Canada-Quebec1,000052401,124000052401,Canada,AirNow,historical,Unknown
45.6222,-76.0178,2025-05-23T00:00,PM2.5,UG/M3,12,1,Parc de la Gatineau - La Pêche,Canada-Quebec1,000052401,124000052401,Canada,AirNow,historical,Unknown
44.0878,-75.9744,2025-05-23T00:00,OZONE,PPB,23,1,Perch River,New York Dept. of Environmental Conservation,360450002,840360450002,Canada,AirNow,historical,Unknown
45.4369,-75.7261,2025-05-23T00:00,OZONE,PPB,29,1,Gatineau - Hull,Canada-Quebec1,000050204,124000050204,Canada,AirNow,historical,Unknown
45.4369,-75.7261,2025-05-23T00:00,PM2.5,UG/M3,13,1,Gatineau - Hull,Canada-Quebec1,000050204,124000050204,Canada,AirNow,historical,Unknown
45.434333,-75.67599,2025-05-23T00:00,OZONE,PPB,27,1,Ottawa Downtown,Ontario Ministry of the Environment,000060104,124000060104,Canada,AirNow,historical,Unknown
45.434333,-75.67599,2025-05-23T00:00,PM2.5,UG/M3,13,1,Ottawa Downtown,Ontario Ministry of the Environment,000060104,124000060104,Canada,AirNow,historical,Unknown
45.434333,-75.67599,2025-05-23T00:00,NO2,PPB,1,1,Ottawa Downtown,Ontario Ministry of the Environment,000060104,124000060104,Canada,AirNow,historical,Unknown
